"","Season","clade","vaccine","tot_weight"
"1",2010,"3C","A/Perth/16/2009",1.9176
"2",2010,"3C.2a3","A/Perth/16/2009",2.037
"3",2011,"3C","A/Perth/16/2009",0
"4",2011,"3C.2","A/Perth/16/2009",0.11
"5",2011,"3C.3","A/Perth/16/2009",0.11
"6",2012,"3C","A/Victoria/361/2011",0.029
"7",2012,"3C.2","A/Victoria/361/2011",0.029
"8",2012,"3C.3","A/Victoria/361/2011",0.029
"9",2013,"3C","A/Texas/50/2012",0
"10",2013,"3C.2","A/Texas/50/2012",0
"11",2013,"3C.2a","A/Texas/50/2012",0.3342
"12",2013,"3C.3","A/Texas/50/2012",0
"13",2013,"3C.3a","A/Texas/50/2012",0.1971
"14",2013,"3C.3b","A/Texas/50/2012",0
"15",2014,"3C","A/Texas/50/2012",0
"16",2014,"3C.2","A/Texas/50/2012",0
"17",2014,"3C.2a","A/Texas/50/2012",0
"18",2014,"3C.2a2","A/Texas/50/2012",0.85425
"19",2014,"3C.2a3","A/Texas/50/2012",0
"20",2014,"3C.3","A/Texas/50/2012",0
"21",2014,"3C.3a","A/Texas/50/2012",0.11865
"22",2014,"3C.3b","A/Texas/50/2012",1.06785
"23",2015,"3C","A/Switzerland/9715293/2013",0
"24",2015,"3C.2","A/Switzerland/9715293/2013",0
"25",2015,"3C.2a","A/Switzerland/9715293/2013",0
"26",2015,"3C.2a1","A/Switzerland/9715293/2013",0
"27",2015,"3C.3","A/Switzerland/9715293/2013",0
"28",2015,"3C.3a","A/Switzerland/9715293/2013",0
"29",2016,"3C.2a","A/HongKong/4801/2014",0
"30",2016,"3C.2a1","A/HongKong/4801/2014",0
"31",2016,"3C.2a1b.1","A/HongKong/4801/2014",0.3267
"32",2016,"3C.2a2","A/HongKong/4801/2014",1.0587
"33",2016,"3C.2a3","A/HongKong/4801/2014",0.3463
"34",2016,"3C.2a4","A/HongKong/4801/2014",0.2863
"35",2016,"3C.3a","A/HongKong/4801/2014",0.0962
"36",2016,"3C.3a1","A/HongKong/4801/2014",2.2117
"37",2017,"3C.2a","A/HongKong/4801/2014",0.1281
"38",2017,"3C.2a1","A/HongKong/4801/2014",0.1281
"39",2017,"3C.2a1b.1","A/HongKong/4801/2014",0.8432
"40",2017,"3C.2a1b.2","A/HongKong/4801/2014",0.9908
"41",2017,"3C.2a1b.2b","A/HongKong/4801/2014",1.2645
"42",2017,"3C.2a2","A/HongKong/4801/2014",0.8344
"43",2017,"3C.2a3","A/HongKong/4801/2014",0.1281
"44",2017,"3C.2a4","A/HongKong/4801/2014",0.9318
"45",2017,"3C.3a","A/HongKong/4801/2014",0.2134
"46",2017,"3C.3a1","A/HongKong/4801/2014",2.0007
"47",2017,"3C.3b","A/HongKong/4801/2014",1.9741
"48",2018,"3C.2","A/Singapore/Infimh-16-0019/2016",0.2231
"49",2018,"3C.2a","A/Singapore/Infimh-16-0019/2016",0.246
"50",2018,"3C.2a1","A/Singapore/Infimh-16-0019/2016",0.2918
"51",2018,"3C.2a1b.1","A/Singapore/Infimh-16-0019/2016",0.9307
"52",2018,"3C.2a1b.1b","A/Singapore/Infimh-16-0019/2016",2.6128
"53",2018,"3C.2a1b.2","A/Singapore/Infimh-16-0019/2016",0.821
"54",2018,"3C.2a1b.2a","A/Singapore/Infimh-16-0019/2016",0.821
"55",2018,"3C.2a1b.2b","A/Singapore/Infimh-16-0019/2016",1.1
"56",2018,"3C.2a2","A/Singapore/Infimh-16-0019/2016",1.205
"57",2018,"3C.2a3","A/Singapore/Infimh-16-0019/2016",0.2918
"58",2018,"3C.3a","A/Singapore/Infimh-16-0019/2016",0.4335
"59",2018,"3C.3a1","A/Singapore/Infimh-16-0019/2016",2.0933
"60",2019,"3C.2a1b.1","A/Kansas/14/2017",0
"61",2019,"3C.2a1b.1a","A/Kansas/14/2017",0
"62",2019,"3C.2a1b.1b","A/Kansas/14/2017",0
"63",2019,"3C.2a1b.2","A/Kansas/14/2017",0
"64",2019,"3C.2a1b.2a","A/Kansas/14/2017",0
"65",2019,"3C.2a1b.2b","A/Kansas/14/2017",0
"66",2019,"3C.3a1","A/Kansas/14/2017",0
